CustomerID,OrderID,Channel,PaymentType,Brand,Shop,Promotion,SalePrice, Sale_Price ," 23,000 ",SaleDate,Reference
CTM10863,OTS862,Offline,Thẻ,HP,FPT Shop,Có,16050000," 16,050,000 ",,8/8/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM10869,OTS341,Offline,Tiền mặt,Dell,Techcare,Có,10480000," 10,480,000 ",,11/30/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...), Website"
CTM11013,OTS17077,Offline,Thẻ,MSI,Điện máy xanh,Không,13776000," 13,776,000 ",,3/3/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM11013,OTS25846,Offline,Tiền mặt,HP,Nguyễn Kim,Không,17924000," 17,924,000 ",,3/3/2020,Nhân viên cửa hàng bán Laptop
CTM11013,OTS1071,Online,Thẻ,Microsoft,Chợ Lớn,Có,"$2,520 "," 57,960,000 ",,3/29/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM11013,OTS33224,Online,Thẻ,HP,Viễn thông A,Có,4351000," 4,351,000 ",,8/17/2020,"Thông qua người thân, bạn bè"
CTM11016,OTS16484,Online,Thẻ,Acer,Điện máy xanh,Không,12301000," 12,301,000 ",,7/7/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM11016,OTS110,Online,Thẻ,Apple,FPT Shop,Không,23850000," 23,850,000 ",,11/7/2020,"Mạng xã hội, Website"
CTM11020,OTS914,Online,Thẻ,Acer,Thế giới di động,Có,13300000," 13,300,000 ",,7/16/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Website"
CTM11312,OTS563,Online,Thẻ,MSI,Viettel Store,Không,"$2,672 "," 61,456,000 ",,4/27/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội, Website"
CTM11376,OTS117,Offline,Tiền mặt,Dell,Thế giới di động,Có,11710000," 11,710,000 ",,2/24/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM11476,OTS969,Online,Thẻ,Asus,FPT Shop,Không,14890000," 14,890,000 ",,9/12/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM11491,OTS902,Offline,Thẻ,HP,FPT Shop,Có,15230000," 15,230,000 ",,7/3/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM1154,OTS1013,Offline,Thẻ,HP,Viễn thông A,Có,13900000," 13,900,000 ",,5/18/2020,Nhờ người có chuyên môn tư vấn
CTM11567,OTS35168,Online,Thẻ,HP,Viễn thông A,Không,17081000," 17,081,000 ",,1/18/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM11567,OTS49793,Offline,Tiền mặt,HP,Viễn thông A,Không,3975000," 3,975,000 ",,1/19/2020,Nhân viên cửa hàng bán Laptop
CTM11567,OTS25191,Offline,Tiền mặt,Asus,Điện máy xanh,Không,8371000," 8,371,000 ",,6/12/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM11567,OTS821,Online,Thẻ,Apple,Viettel Store,Không,"$1,522 "," 35,006,000 ",,6/27/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM11667,OTS57,Offline,Tiền mặt,HP,Viễn thông A,Không,14560000," 14,560,000 ",,12/31/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM11768,OTS94738,Online,Thẻ,MSI,Điện máy xanh,Có,"$1,630 "," 37,490,000 ",,4/9/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM11768,OTS788,Online,Thẻ,HP,Thế giới di động,Có,13430000," 13,430,000 ",,5/20/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM1205,OTS1084,Online,Thẻ,Asus,Thế giới di động,Có,6770000," 6,770,000 ",,6/22/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM12086,OTS808,Offline,Tiền mặt,Asus,Thế giới di động,Không,10900000," 10,900,000 ",,5/9/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM12086,OTS4026,Online,Thẻ,Asus,Nguyễn Kim,Không,13631000," 13,631,000 ",,6/15/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Phương tiện truyền thông (báo, tivi,...)"
CTM12086,OTS74537,Online,Thẻ,Asus,Phong Vũ,Không,"$2,397 "," 55,131,000 ",,8/23/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM12311,OTS529,Offline,Thẻ,Dell,Phong Vũ,Có,12170000," 12,170,000 ",,5/28/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM1232,OTS17242,Online,Thẻ,Asus,Phong Vũ,Có,12397000," 12,397,000 ",,1/29/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM1232,OTS66543,Offline,Thẻ,Asus,Viễn thông A,Không,14334000," 14,334,000 ",,4/21/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM1232,OTS1010,Online,Thẻ,MSI,FPT Shop,Có,22530000," 22,530,000 ",,6/2/2020,Nhân viên cửa hàng bán Laptop
CTM12334,OTS884,Online,Thẻ,HP,FPT Shop,Có,12930000," 12,930,000 ",,3/26/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Website"
CTM1234,OTS12,Online,Thẻ,DellXPS,FPT Shop,Không,15500000," 15,500,000 ",,6/5/2020,
CTM12448,OTS5502,Online,Thẻ,HP,Phong Vũ,Không,9571000," 9,571,000 ",,5/22/2020,"Thông qua người thân, bạn bè"
CTM12448,OTS741,Online,Thẻ,Microsoft,Techcare,Không,14910000," 14,910,000 ",,6/12/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM12491,OTS512,Offline,Thẻ,,Thế giới di động,Không,14700000," 14,700,000 ",,12/10/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM12511,OTS954,Offline,Thẻ,Asus,Khác,Có,19750000," 19,750,000 ",,7/4/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM12519,OTS739,Online,Thẻ,Asus,FPT Shop,Có,3680000," 3,680,000 ",,7/24/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM12519,OTS78253,Offline,Thẻ,Asus,Viễn thông A,Có,14684000," 14,684,000 ",,12/21/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Website"
CTM12588,OTS35856,Offline,Thẻ,HP,Điện máy xanh,Không,"$2,742 "," 63,066,000 ",,2/24/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM12588,OTS381,Online,Thẻ,Asus,Viễn thông A,Có,14710000," 14,710,000 ",,4/3/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM12588,OTS28637,Offline,Thẻ,MSI,Techcare,Không,12766000," 12,766,000 ",,12/3/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM12627,OTS28795,Online,Thẻ,Acer,Techcare,Không,21290000," 21,290,000 ",,1/27/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM12627,OTS59802,Online,Thẻ,Asus,Viễn thông A,Không,10784000," 10,784,000 ",,1/31/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM12627,OTS31,Online,Thẻ,Dell,Điện máy xanh,Có,10390000," 10,390,000 ",,6/8/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website, Khác"
CTM12627,OTS66704,Offline,Thẻ,MSI,Viễn thông A,Không,12077000," 12,077,000 ",,11/12/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM12635,OTS453,Offline,Tiền mặt,Asus,Nguyễn Kim,Có,9710000," 9,710,000 ",,8/27/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13167,OTS40,Online,Thẻ,Dell,Điện máy xanh,Có,14850000," 14,850,000 ",,6/28/2020,"Mạng xã hội, Website"
CTM13167,OTS77361,Offline,Thẻ,MSI,Viễn thông A,Có,18041000," 18,041,000 ",,9/16/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13236,OTS95,Offline,Thẻ,Dell,Phi Long Technology,Có,16610000," 16,610,000 ",,4/27/2020,Website
CTM13282,OTS681,Offline,Tiền mặt,Asus,Viettel Store,Không,11720000," 11,720,000 ",,6/19/2020,Nhân viên cửa hàng bán Laptop
CTM13282,OTS35749,Offline,Thẻ,MSI,Viễn thông A,Có,11983000," 11,983,000 ",,12/13/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM13449,OTS478,Offline,Thẻ,Asus,Thế giới di động,Không,10690000," 10,690,000 ",,11/19/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM13508,OTS153,Offline,Tiền mặt,Acer,Chợ Lớn,Có,11420000," 11,420,000 ",,9/18/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM13653,OTS928,Online,Thẻ,Asus,Điện máy xanh,Có,10370000," 10,370,000 ",,9/9/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13664,OTS987,Online,Thẻ,Dell,Thế giới di động,Có,13250000," 13,250,000 ",,11/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13664,OTS987,Online,Thẻ,Dell,Thế giới di động,Có,13250000," 13,250,000 ",,11/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13762,OTS872,Offline,Tiền mặt,Dell,FPT Shop,Có,11010000," 11,010,000 ",,2/28/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13762,OTS41456,Online,Thẻ,HP,Viễn thông A,Có,12542000," 12,542,000 ",,4/17/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM13837,OTS54739,Online,Thẻ,HP,Điện máy xanh,Không,17385000," 17,385,000 ",,11/23/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM13837,OTS985,Online,Thẻ,Asus,Thế giới di động,Không,12150000," 12,150,000 ",,12/16/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13837,OTS985,Online,Thẻ,Asus,Thế giới di động,Không,12150000," 12,150,000 ",,12/16/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM13887,OTS402,Offline,Tiền mặt,Dell,Điện máy xanh,Có,11680000," 11,680,000 ",,3/18/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM14029,OTS37,Online,Thẻ,Apple,FPT Shop,Có,"$2,999 "," 68,977,000 ",,2/27/2020,Nhân viên cửa hàng bán Laptop
CTM14049,OTS55749,Online,Thẻ,Acer,Phong Vũ,Không,22671000," 22,671,000 ",,4/5/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM14049,OTS292,Offline,Thẻ,Apple,Viettel Store,Không,22540000," 22,540,000 ",,10/18/2020,"Nhờ người có chuyên môn tư vấn, Website"
CTM14053,OTS290,Online,Thẻ,Microsoft,Viettel Store,Có,23700000," 23,700,000 ",,7/1/2020,Nhân viên cửa hàng bán Laptop
CTM14053,OTS3620,Offline,Tiền mặt,MSI,Nguyễn Kim,Không,,,,12/3/2020,Nhờ người có chuyên môn tư vấn
CTM14121,OTS18435,Offline,Tiền mặt,MSI,Viễn thông A,Không,15520000," 15,520,000 ",,6/9/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM14121,OTS650,Online,Thẻ,Dell,Thế giới di động,Có,10660000," 10,660,000 ",,11/2/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM14184,OTS863,Online,Thẻ,Dell,Phong Vũ,Có,14860000," 14,860,000 ",,6/7/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM142,OTS888,Offline,Thẻ,Acer,FPT Shop,Có,13580000," 13,580,000 ",,8/3/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM14258,OTS17001,Offline,Thẻ,MSI,Viễn thông A,Không,14605000," 14,605,000 ",,1/14/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM14258,OTS829,Online,Thẻ,Dell,FPT Shop,Có,18800000," 18,800,000 ",,4/30/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM14408,OTS538,Online,Thẻ,HP,FPT Shop,Không,12610000," 12,610,000 ",,7/7/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM1441,OTS415,Online,Thẻ,HP,Điện máy xanh,Không,17030000," 17,030,000 ",,1/30/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM145,OTS867,Offline,Thẻ,Dell,Điện máy xanh,Không,18530000," 18,530,000 ",,2/26/2020,Nhân viên cửa hàng bán Laptop
CTM14696,,Offline,Tiền mặt,MSI,Techcare,Có,9852000," 9,852,000 ",,4/24/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM14696,OTS738,Online,Thẻ,Asus,FPT Shop,Có,13580000," 13,580,000 ",,5/27/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...)"
CTM14813,OTS44,Online,Thẻ,Lenovo,Thế giới di động,Không,14420000," 14,420,000 ",,5/16/2020,"Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM15043,OTS203,Offline,Thẻ,HP,FPT Shop,Không,12070000," 12,070,000 ",,12/1/2020,Mạng xã hội
CTM15082,OTS18127,Offline,Tiền mặt,Asus,Techcare,Có,21296000," 21,296,000 ",,6/5/2020,"Thông qua người thân, bạn bè"
CTM15082,OTS854,Online,Thẻ,Apple,FPT Shop,Có,"$2,016 "," 46,368,000 ",,9/29/2020,"Thông qua người thân, bạn bè, Mạng xã hội"
CTM15171,OTS81057,Online,Thẻ,MSI,Techcare,Có,19189000," 19,189,000 ",,6/20/2020,Mạng xã hội
CTM15171,OTS837,Online,Thẻ,Apple,Viettel Store,Không,11270000," 11,270,000 ",,11/6/2020,Mạng xã hội
CTM15260,OTS603,Online,Thẻ,Asus,Điện máy xanh,Có,10130000," 10,130,000 ",,1/27/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM15327,OTS825,Online,Thẻ,Apple,Khác,Không,22400000," 22,400,000 ",,4/14/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15333,OTS314,Online,Thẻ,Dell,FPT Shop,Có,16440000," 16,440,000 ",,9/4/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15426,OTS90140,Online,Thẻ,Asus,Nguyễn Kim,Có,9645000," 9,645,000 ",,3/4/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15426,OTS7899,Offline,Tiền mặt,MSI,Nguyễn Kim,Không,13199000," 13,199,000 ",,3/16/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM15426,OTS2,Online,Thẻ,Asus,FPT Shop,Có,12010000," 12,010,000 ",,8/26/2020,"Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM15464,OTS25095,Offline,Thẻ,MSI,Techcare,Không,13694000," 13,694,000 ",,3/23/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM15464,OTS310,Online,Thẻ,Dell,Phong Vũ,Có,19320000," 19,320,000 ",,11/10/2020,"Nhờ người có chuyên môn tư vấn, Mạng xã hội, Website"
CTM15464,OTS19356,Offline,Thẻ,Acer,Techcare,Không,10404000," 10,404,000 ",,11/13/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15674,OTS54,Online,Thẻ,HP,Điện máy xanh,Có,16320000," 16,320,000 ",,4/25/2020,Nhân viên cửa hàng bán Laptop
CTM15688,OTS627,Online,Thẻ,HP,Thế giới di động,Không,10820000," 10,820,000 ",,2/10/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM15703,OTS906,Online,Thẻ,Dell,FPT Shop,Có,17120000," 17,120,000 ",,1/7/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM15751,OTS21553,Online,Thẻ,HP,Phong Vũ,Có,13845000," 13,845,000 ",,9/17/2020,Nhân viên cửa hàng bán Laptop
CTM15751,OTS277,Online,Thẻ,Dell,FPT Shop,Không,20810000," 20,810,000 ",,12/13/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM15835,OTS209,Offline,Tiền mặt,Asus,FPT Shop,Không,12780000," 12,780,000 ",,3/24/2020,Nhân viên cửa hàng bán Laptop
CTM15919,OTS252,Offline,Thẻ,Apple,Khác,Có,20020000," 20,020,000 ",,5/8/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM16011,OTS349,Offline,Tiền mặt,Apple,FPT Shop,Không,"$1,621 "," 37,283,000 ",,6/26/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Phương tiện truyền thông (báo, tivi,...), Website"
CTM16182,OTS386,Offline,Thẻ,Dell,Thế giới di động,Có,11500000," 11,500,000 ",,7/13/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM16264,OTS843,Online,Thẻ,Apple,FPT Shop,Không,"$2,723 "," 62,629,000 ",,5/30/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM1634,OTS904,Offline,Tiền mặt,Asus,FPT Shop,Có,12800000," 12,800,000 ",,11/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM16527,OTS278,Offline,Tiền mặt,HP,Nguyễn Kim,Không,20000000," 20,000,000 ",,8/11/2020,"Thông qua người thân, bạn bè"
CTM16593,OTS398,Online,Thẻ,Microsoft,FPT Shop,Có,20460000," 20,460,000 ",,3/28/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM16641,OTS440,Offline,Tiền mặt,Apple,FPT Shop,Không,"$2,283 "," 52,509,000 ",,12/24/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM1676,OTS254,Offline,Thẻ,Dell,Thế giới di động,Có,11550000," 11,550,000 ",,11/27/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội, Website"
CTM16782,OTS1060,Online,Thẻ,HP,Điện máy xanh,Không,16280000," 16,280,000 ",,7/23/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM16880,OTS523,Offline,Thẻ,Dell,Phong Vũ,Có,18890000," 18,890,000 ",,8/16/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17010,OTS750,Online,Thẻ,Acer,Techcare,Không,7090000," 7,090,000 ",,12/22/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM17043,OTS1053,Online,Thẻ,Asus,Thế giới di động,Có,16450000," 16,450,000 ",,2/20/2020,"Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Website"
CTM17102,OTS318,Online,Thẻ,Asus,FPT Shop,Không,14390000," 14,390,000 ",,11/25/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17109,OTS169,Offline,Tiền mặt,Asus,FPT Shop,Có,4420000," 4,420,000 ",,10/26/2020,Nhân viên cửa hàng bán Laptop
CTM17226,OTS224,Offline,Tiền mặt,Lenovo,Điện máy xanh,Không,15810000," 15,810,000 ",,11/21/2020,"Thông qua người thân, bạn bè, Mạng xã hội"
CTM17242,OTS975,Offline,Thẻ,Dell,FPT Shop,Có,11990000," 11,990,000 ",,5/2/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17317,OTS38375,Online,Thẻ,HP,Techcare,Không,14350000," 14,350,000 ",,2/14/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM17317,OTS505,Offline,Thẻ,Acer,Điện máy xanh,Có,12460000," 12,460,000 ",,6/16/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn"
CTM17342,OTS769,Offline,Thẻ,Acer,Thế giới di động,Không,10010000," 10,010,000 ",,10/30/2020,"Thông qua người thân, bạn bè, Mạng xã hội, Website"
CTM17479,OTS77,Offline,Tiền mặt,Dell,Techcare,Có,13250000," 13,250,000 ",,2/25/2020,"Thông qua người thân, bạn bè"
CTM17585,OTS86,Online,Thẻ,Dell,Phong Vũ,Có,11210000," 11,210,000 ",,5/26/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM17649,OTS9764,Online,Thẻ,MSI,Nguyễn Kim,Có,9227000," 9,227,000 ",,4/3/2020,Mạng xã hội
CTM17649,OTS774,Online,Thẻ,Asus,Thế giới di động,Có,10670000," 10,670,000 ",,10/17/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM17713,OTS1018,Online,Thẻ,HP,Thế giới di động,Có,17780000," 17,780,000 ",,8/21/2020,Nhờ người có chuyên môn tư vấn
CTM17781,OTS964,Online,Thẻ,HP,Phi Long Technology,Có,12990000," 12,990,000 ",,12/15/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM18035,OTS526,Online,Thẻ,HP,Techcare,Có,18660000," 18,660,000 ",,5/11/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM18038,OTS532,Offline,Thẻ,Lenovo,Techcare,Có,12920000," 12,920,000 ",,8/11/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM18051,OTS226,Online,Thẻ,Dell,Khác,Không,12850000," 12,850,000 ",,4/21/2020,"Thông qua người thân, bạn bè"
CTM18106,OTS542,Online,Thẻ,Dell,Khác,Có,9130000," 9,130,000 ",,1/6/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM18160,OTS859,Offline,Tiền mặt,Lenovo,Điện máy xanh,Có,14380000," 14,380,000 ",,8/12/2020,Nhờ người có chuyên môn tư vấn
